
====================
Pre-training using samples
====================
GV pre-training enabled
Epoch   480 | Total: 2685.0908 | Goal:   0.0000 | Unsafe: 1126.7406 | Init:  10.2639 | Outside:  68.9752 | Gen: 1479.1111 | Time: 95.6s
Epoch   490 | Total: 2629.5645 | Goal:   0.0000 | Unsafe: 1090.5009 | Init:  17.8402 | Outside:  59.3562 | Gen: 1461.8672 | Time: 97.4s
Refining outside cells: 371 failing, refined 100 cells, 4650 total
Refining generator cells: 188 failing, refined 100 cells, 2444 total
Rebuilt V cache with 16943 cells
Rebuilt Phi cache with 2444 cells
Merging outside cells: merged 3577 pairs, 1073 total
Merging generator cells: merged 38 pairs, 2406 total
Epoch   500 | Total: 1631.8224 | Goal:   0.0000 | Unsafe: 958.1840 | Init: 218.4675 | Outside:  18.6197 | Gen: 436.5511 | Time: 100.5s
Rebuilt V cache with 13366 cells
Rebuilt Phi cache with 2406 cells
Epoch   510 | Total: 1608.2163 | Goal:   0.0000 | Unsafe: 1025.4996 | Init:  21.2623 | Outside: 128.4783 | Gen: 432.9759 | Time: 103.2s
Epoch   520 | Total: 1576.4230 | Goal:   0.0000 | Unsafe: 974.4558 | Init:  17.4315 | Outside: 140.7240 | Gen: 443.8117 | Time: 105.5s
Epoch   530 | Total: 1547.8710 | Goal:   0.0000 | Unsafe: 849.0325 | Init: 141.8776 | Outside: 103.2545 | Gen: 453.7063 | Time: 107.7s
Epoch   540 | Total: 1513.6155 | Goal:   0.0000 | Unsafe: 887.0955 | Init:  23.8953 | Outside: 147.4749 | Gen: 455.1499 | Time: 109.8s
Epoch   550 | Total: 1481.7737 | Goal:   0.0000 | Unsafe: 844.4001 | Init:  41.3642 | Outside: 139.4380 | Gen: 456.5714 | Time: 112.1s
Epoch   560 | Total: 1473.8855 | Goal:   0.0000 | Unsafe: 793.9152 | Init: 106.4946 | Outside: 119.1239 | Gen: 454.3520 | Time: 114.1s
Epoch   570 | Total: 1452.5267 | Goal:   0.0000 | Unsafe: 820.5854 | Init:  34.0689 | Outside: 148.4127 | Gen: 449.4597 | Time: 116.3s
Epoch   580 | Total: 1434.6896 | Goal:   0.0000 | Unsafe: 803.3300 | Init:  42.5497 | Outside: 144.0383 | Gen: 444.7716 | Time: 118.5s
Epoch   590 | Total: 1423.2538 | Goal:   0.0000 | Unsafe: 773.1161 | Init:  81.6991 | Outside: 128.2002 | Gen: 440.2383 | Time: 120.7s
Epoch   600 | Total: 1406.2311 | Goal:   0.0000 | Unsafe: 782.7061 | Init:  48.8428 | Outside: 141.0289 | Gen: 433.6533 | Time: 123.1s
Epoch   610 | Total: 1393.0435 | Goal:   0.0000 | Unsafe: 775.5308 | Init:  53.4137 | Outside: 138.0959 | Gen: 426.0032 | Time: 125.3s
Epoch   620 | Total: 1380.4939 | Goal:   0.0000 | Unsafe: 771.6511 | Init:  52.4597 | Outside: 137.8078 | Gen: 418.5753 | Time: 127.6s
Epoch   630 | Total: 1368.9861 | Goal:   0.0000 | Unsafe: 763.4037 | Init:  56.5218 | Outside: 135.6457 | Gen: 413.4148 | Time: 129.8s
Epoch   640 | Total: 1357.3252 | Goal:   0.0000 | Unsafe: 759.4408 | Init:  55.0657 | Outside: 135.5128 | Gen: 407.3059 | Time: 131.9s
Epoch   650 | Total: 1345.7068 | Goal:   0.0000 | Unsafe: 756.1932 | Init:  51.4707 | Outside: 136.5808 | Gen: 401.4619 | Time: 134.0s
Epoch   660 | Total: 1333.9351 | Goal:   0.0000 | Unsafe: 749.2126 | Init:  53.8086 | Outside: 134.9774 | Gen: 395.9365 | Time: 136.2s
Epoch   670 | Total: 1321.7000 | Goal:   0.0000 | Unsafe: 740.4924 | Init:  54.2378 | Outside: 134.7087 | Gen: 392.2610 | Time: 138.3s
Epoch   680 | Total: 1308.5403 | Goal:   0.0000 | Unsafe: 732.7028 | Init:  51.7114 | Outside: 135.7219 | Gen: 388.4042 | Time: 140.6s
Epoch   690 | Total: 1294.9907 | Goal:   0.0000 | Unsafe: 721.9946 | Init:  52.7834 | Outside: 135.0980 | Gen: 385.1147 | Time: 142.7s
Epoch   700 | Total: 1279.5162 | Goal:   0.0000 | Unsafe: 708.7250 | Init:  55.3634 | Outside: 133.7537 | Gen: 381.6741 | Time: 144.8s
Epoch   710 | Total: 1262.4084 | Goal:   0.0000 | Unsafe: 696.2257 | Init:  51.3551 | Outside: 135.5450 | Gen: 379.2827 | Time: 146.9s
Epoch   720 | Total: 1241.9285 | Goal:   0.0000 | Unsafe: 678.8306 | Init:  51.6486 | Outside: 135.1940 | Gen: 376.2553 | Time: 149.0s
Epoch   730 | Total: 1217.0935 | Goal:   0.0000 | Unsafe: 653.9037 | Init:  53.0436 | Outside: 134.5189 | Gen: 375.6273 | Time: 151.1s
Epoch   740 | Total: 1187.1880 | Goal:   0.0000 | Unsafe: 627.7145 | Init:  47.7810 | Outside: 136.6436 | Gen: 375.0488 | Time: 153.2s
Refining outside cells: 385 failing, refined 100 cells, 1773 total
Rebuilt V cache with 14066 cells
Epoch   750 | Total: 1129.8354 | Goal:   0.0000 | Unsafe: 588.2003 | Init:  54.7312 | Outside: 111.2373 | Gen: 375.6667 | Time: 155.7s
Epoch   760 | Total: 1088.2939 | Goal:   0.0000 | Unsafe: 561.5051 | Init:  37.3995 | Outside: 117.9514 | Gen: 371.4378 | Time: 157.8s
Epoch   770 | Total: 1038.4955 | Goal:   0.0000 | Unsafe: 511.3676 | Init:  40.3492 | Outside: 114.9054 | Gen: 371.8733 | Time: 159.9s
Epoch   780 | Total:  984.6353 | Goal:   0.0000 | Unsafe: 455.1719 | Init:  50.9897 | Outside: 107.4332 | Gen: 371.0404 | Time: 162.2s
Epoch   790 | Total:  924.1111 | Goal:   0.0000 | Unsafe: 397.7714 | Init:  44.3332 | Outside: 107.7635 | Gen: 374.2429 | Time: 164.3s
Epoch   800 | Total:  862.0774 | Goal:   0.0000 | Unsafe: 322.3628 | Init:  36.3038 | Outside: 111.4868 | Gen: 391.9240 | Time: 166.7s
Epoch   810 | Total:  806.7401 | Goal:   0.0000 | Unsafe: 258.9102 | Init:  38.5224 | Outside: 107.6643 | Gen: 401.6431 | Time: 168.8s
Epoch   820 | Total:  764.6650 | Goal:   0.0000 | Unsafe: 224.0370 | Init:  33.7135 | Outside: 107.2152 | Gen: 399.6993 | Time: 171.1s
