
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
/Users/sebastianescobar/Desktop/Neural_Certificate/src/phi_module.py:495: TracerWarning: Converting a tensor to a Python boolean might cause the trace to be incorrect. We can't record the data flow of Python values, so this value will be treated as a constant in the future. This means that the trace might not generalize to other inputs!
  self._cached_scale_D == D

Using CONSTANT beta_s = 0.0
Epoch     0 | Total: 198651.2812 | Goal: 1772.0391 | Unsafe: 4707.0469 | Init:   0.2097 | Outside: 1336.1797 | Gen: 190835.8125

Epoch 0 - Detailed Evaluation:
Goal:      FAIL, V bounds: [ -0.528,  38.415]
Unsafe:    FAIL, V bounds: [ -2.646,  90.396]
Init:      FAIL, V bounds: [  0.383,   1.042]
Outside:   FAIL, V bounds: [ -3.037,  89.730]
Generator: FAIL, GV bounds: [  5.394, 3720.496]
[Check] epoch=000000  1.000e-01 
Epoch    10 | Total: 96048.1406 | Goal: 924.7697 | Unsafe: 11575.3535 | Init:  30.1034 | Outside: 831.9440 | Gen: 82685.9688
[Check] epoch=000010  1.000e-01 
Epoch    20 | Total: 56215.3164 | Goal: 342.4903 | Unsafe: 19696.9863 | Init:   0.0000 | Outside: 304.4835 | Gen: 35871.3555
[Check] epoch=000020  1.000e-01 
Epoch    30 | Total: 44125.0078 | Goal: 250.3369 | Unsafe: 23361.5547 | Init:   0.0000 | Outside: 178.7121 | Gen: 20334.4043
[Check] epoch=000030  1.000e-01 
Epoch    40 | Total: 38954.8164 | Goal: 204.8751 | Unsafe: 20485.6270 | Init:   0.0000 | Outside: 158.0610 | Gen: 18106.2539
[Check] epoch=000040  1.000e-01 
Epoch    50 | Total: 35141.9922 | Goal: 137.6711 | Unsafe: 16624.3809 | Init:   0.0000 | Outside: 166.4091 | Gen: 18213.5332
[Check] epoch=000050  1.000e-01 
Epoch    60 | Total: 31742.9707 | Goal: 167.9977 | Unsafe: 15878.5322 | Init:   0.0020 | Outside: 158.2420 | Gen: 15538.1963
[Check] epoch=000060  1.000e-01 
Epoch    70 | Total: 29416.3945 | Goal: 186.2799 | Unsafe: 14731.8154 | Init:  13.3875 | Outside: 159.2044 | Gen: 14325.7070
[Check] epoch=000070  1.000e-01 
Epoch    80 | Total: 27431.9180 | Goal: 146.9640 | Unsafe: 12979.1318 | Init: 146.3595 | Outside: 157.2543 | Gen: 14002.2100
[Check] epoch=000080  1.000e-01 
Epoch    90 | Total: 25518.1738 | Goal: 125.2137 | Unsafe: 12191.4609 | Init:  19.3150 | Outside: 162.3914 | Gen: 13019.7920
[Check] epoch=000090  1.000e-01 
Epoch   100 | Total: 23567.3047 | Goal: 135.1687 | Unsafe: 11425.3789 | Init:  37.4456 | Outside: 171.7647 | Gen: 11797.5469
[Check] epoch=000100  1.000e-01 
Epoch   110 | Total: 21749.7734 | Goal: 127.7675 | Unsafe: 10526.8516 | Init:  39.2735 | Outside: 173.1566 | Gen: 10882.7246
[Check] epoch=000110  1.000e-01 
Epoch   120 | Total: 20210.8711 | Goal: 145.8426 | Unsafe: 9642.1514 | Init:  35.5991 | Outside: 181.1216 | Gen: 10206.1572
[Check] epoch=000120  1.000e-01 
Epoch   130 | Total: 19029.2617 | Goal: 135.1747 | Unsafe: 9157.1670 | Init:  35.5896 | Outside: 175.0509 | Gen: 9526.2783
[Check] epoch=000130  1.000e-01 
Epoch   140 | Total: 18039.4844 | Goal: 139.6656 | Unsafe: 8738.5098 | Init:  38.0304 | Outside: 173.8005 | Gen: 8949.4785
[Check] epoch=000140  1.000e-01 
Epoch   150 | Total: 17206.7461 | Goal: 126.3781 | Unsafe: 8406.4375 | Init:  42.5108 | Outside: 165.6677 | Gen: 8465.7529
[Check] epoch=000150  1.000e-01 
Epoch   160 | Total: 16471.1992 | Goal: 142.8572 | Unsafe: 7975.6133 | Init:  43.6870 | Outside: 167.1860 | Gen: 8141.8550
[Check] epoch=000160  1.000e-01 
Epoch   170 | Total: 15774.2451 | Goal: 154.6728 | Unsafe: 7572.4043 | Init:  46.3522 | Outside: 163.3304 | Gen: 7837.4854
[Check] epoch=000170  1.000e-01 
Epoch   180 | Total: 15130.8555 | Goal: 182.3253 | Unsafe: 7089.2241 | Init:  57.0344 | Outside: 163.4190 | Gen: 7638.8525
[Check] epoch=000180  1.000e-01 
